ID,age,R,fe_h_lit,fe_h_rescaled,ref_metallicity,ref_age_distance,,
Be 17,10.06,10.30,-0.15,-0.13,\citet{Friel2005},SFa,,
Be 18,5.69,11.50,-0.44,-0.44,\citet{Yong2012},SF ,,
Be 20,4.05,15.40,-0.30,-0.31,\citet{Sestito2008},SF ,,
Be 21,2.18,13.70,-0.31,-0.31,\citet{Yong2012},SF ,,
Be 22,4.26,11.40,-0.45,-0.45,\citet{Yong2012},SF ,,
Be 25,4.00,17.60,-0.20,-0.22,\citet{Carraro2007},Cb,,
Be 29,4.34,18.10,-0.31,-0.32,\citet{Sestito2008},SF ,,
Be 31,5.32,11.50,-0.53,-0.49,\citet{Friel2005},SF ,,
Be 32,5.91,10.70,-0.38,-0.38,\citet{Yong2012},SF ,,
Be 39,7.00,11.10,0.03,0.05,\citet{Friel2010},SF ,,
Be 66,3.98,12.00,-0.48,-0.46,Villanova et al. (2005),SF ,,
Be 73,1.50,16.70,-0.22,-0.24,\citet{Carraro2007},C ,,
Be 75,3.00,15.60,-0.22,-0.24,\citet{Carraro2007},C ,,
Blanco1,0.10,7.90,0.40,-0.02,\citet{Ford2005},W ,,
Cr 110,1.70,9.70,0.03,0.03,\citet{Pancino2010},Bc,,
Cr 261,6.00,6.90,0.13,0.12,\citet{Sestito2008},B ,,
Hyades,0.70,8.00,0.11,0.11,\citet{Carrera2011},SF ,,
IC 166,2.00,10.20,-0.32,-0.32,\citet{Friel1993},FJ ,,
IC 4651,1.68,7.10,0.11,0.15,\citet{Carretta2004},SF ,,
King 8,0.80,11.30,-0.40,-0.40,\citet{Friel1993},FJ ,,
M 67,4.30,8.50,-0.01,0.01,\citet{Jacobsen2011},SF ,,
Mel 66,5.33,8.90,-0.33,-0.34,\citet{Sestito2008},SF ,,
Mel 71,0.20,10.30,-0.32,-0.10,\citet{Brown1996},W ,,
NGC 1193,4.23,11.40,-0.22,-0.20,\citet{Friel2010},SF ,,
NGC 1245,1.06,10.50,-0.04,-0.02,\citet{Jacobsen2011},SF ,,
NGC 1817,1.12,9.70,-0.16,-0.14,\citet{Jacobsen2011},SF ,,
NGC 188,6.30,8.80,-0.03,-0.01,\citet{Jacobsen2011},SF ,,
NGC 1883,0.65,11.70,-0.01,0.01,\citet{Jacobsen2009},C ,,
NGC 1901,0.80,7.90,-0.08,-0.08,\citet{Carraro2007},W ,,
NGC 2099,0.43,9.20,0.01,0.01,\citet{Pancino2010},B ,,
NGC 2112,2.50,8.60,-0.52,-0.52,\citet{Friel1993},FJ ,,
NGC 2141,2.45,12.00,0.00,0.02,\citet{Jacobsen2009},SF ,,
NGC 2158,2.00,11.50,-0.28,-0.26,\citet{Jacobsen2011},C ,,
NGC 2194,0.87,10.50,-0.08,-0.06,\citet{Jacobsen2011},SF ,,
NGC 2204,2.00,11.20,-0.23,-0.21,\citet{Jacobsen2011},SF ,,
NGC 2243,4.80,10.10,-0.42,-0.40,\citet{Jacobsen2011},B ,,
NGC 2324,0.67,10.70,-0.17,-0.18,\citet{Bragaglia2008},SF ,,
NGC 2355,0.79,10.00,-0.08,-0.06,\citet{Jacobsen2011},SF ,,
NGC 2360,1.90,8.80,-0.28,-0.28,\citet{Friel1993},FJ ,,
NGC 2420,2.20,10.00,-0.20,-0.18,\citet{Jacobsen2011},SF ,,
NGC 2425,3.55,9.50,-0.15,-0.13,\citet{Jacobsen2011},C ,,
NGC 2477,1.00,8.30,0.07,0.06,\citet{Bragaglia2008},SF ,,
NGC 2506,1.70,10.30,-0.20,-0.16,\citet{Carretta2004},B ,,
NGC 2539,0.40,8.80,0.13,0.13,\citet{Santos2009},W ,,
NGC 2660,0.73,8.50,0.04,0.03,\citet{Bragaglia2008},SF ,,
NGC 2682,5.00,8.50,-0.09,-0.09,\citet{Friel1993},FJ ,,
NGC 3680,4.00,7.80,-0.16,-0.16,\citet{Friel1993},FJ ,,
NGC 3960,0.90,7.30,-0.12,-0.08,\citet{Bragaglia2006},B ,,
NGC 5822,1.20,7.40,-0.21,-0.21,\citet{Friel1993},FJ ,,
NGC 6134,0.93,7.10,0.15,0.19,\citet{Carretta2004},Wd,,
NGC 6192,0.13,6.50,0.12,0.10,\citet{Magrini2010},W ,,
NGC 6253,3.00,6.50,0.36,0.35,\citet{Sestito2008},B ,,
NGC 6404,0.50,6.10,0.11,0.09,\citet{Magrini2010},C ,,
NGC 6475,0.20,7.60,0.03,0.03,\citet{Villanova 2009},C ,,
NGC 6583,1.00,5.90,0.37,0.35,\citet{Magrini2010},C ,,
NGC 6791,8.00,7.60,0.42,0.42,\citet{Geisler2012},C ,,
NGC 6819,2.00,7.60,0.09,0.11,\citet{Bragaglia2001},B ,,
NGC 6939,2.20,8.10,0.00,0.00,\citet{Jacobson2007},W ,,
NGC 7142,4.04,9.20,0.13,0.15,\citet{Jacobson2008},SF ,,
NGC 752,1.24,8.20,0.08,0.08,\citet{Carrera2011},SF ,,
NGC 7789,1.80,8.90,0.02,0.04,\citet{Jacobsen2011},SF ,,
Praesepe,0.70,8.10,0.16,0.16,\citet{Carrera2011},SF ,,
PWM4,7.00,18.40,-0.34,-0.34,\citet{Yong2012},YONe,,
Ruprecht 4,0.80,12.00,-0.09,-0.11,\citet{Carraro2007},C ,,
Ruprecht 7,0.80,13.30,-0.26,-0.28,\citet{Carraro2007},C ,,
Saurer 1,5.00,20.10,-0.38,-0.38,\citet{Carraro2004},C ,,
To 2,2.50,14.90,-0.60,-0.60,\citet{Friel1993},FJ,,